Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
1,The Shawshank Redemption,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994,R,"
Drama            ",142 min,9.3,"2,385,373",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",$28.34M
2,The Godfather,"
    An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.",1972,R,"
Crime, Drama            ",175 min,9.2,"1,653,121",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",$134.97M
3,The Dark Knight,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,PG-13,"
Action, Crime, Drama            ",152 min,9.0,"2,348,542",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",$534.86M
4,The Godfather: Part II,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,R,"
Crime, Drama            ",202 min,9.0,"1,150,044",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",$57.30M
5,12 Angry Men,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",1957,Approved,"
Crime, Drama            ",96 min,9.0,"704,111",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",$4.36M
6,The Lord of the Rings: The Return of the King,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",2003,PG-13,"
Action, Adventure, Drama            ",201 min,8.9,"1,668,469",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",$377.85M
7,Pulp Fiction,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,R,"
Crime, Drama            ",154 min,8.9,"1,857,828",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",$107.93M
8,Schindler's List,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,R,"
Biography, Drama, History            ",195 min,8.9,"1,233,181",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",$96.90M
9,Inception,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",2010,PG-13,"
Action, Adventure, Sci-Fi            ",148 min,8.8,"2,107,010",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",$292.58M
10,Fight Club,"
    An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",1999,R,"
Drama            ",139 min,8.8,"1,887,046",David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",$37.03M
